elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
32.0,1946-01-01,2024-01-01,36.0153,"TARIFA, SP",0.7337,GHCND:SPE00119963,METERS,-5.5975
64.0,1924-01-01,1996-01-01,43.4644,"SANTANDER CENTRO, SP",0.9856,GHCND:SPE00119972,METERS,-3.8189
52.0,1947-01-01,2023-01-01,43.4917,"SANTANDER CMT, SP",0.4932,GHCND:SPE00119981,METERS,-3.7994
5.0,1955-01-01,2023-01-01,43.4292,"SANTANDER PARAYAS, SP",0.84,GHCND:SPE00119990,METERS,-3.8314
87.0,1992-01-01,2024-01-01,35.89,"CEUTA, SP",0.4845,GHCND:SPE00120017,METERS,-5.3456
200.0,1935-01-01,1985-01-01,35.8919,"CEUTA MONTE HACHO, SP",0.8621,GHCND:SPE00120026,METERS,-5.2892
628.0,1971-01-01,2024-01-01,38.9892,"CIUDAD REAL, SP",0.9993,GHCND:SPE00120035,METERS,-3.9194
627.0,1920-01-01,1970-01-01,38.9892,"CIUDAD REAL INSTITUTO, SP",0.8622,GHCND:SPE00120044,METERS,-3.9283
945.0,1951-01-01,2024-01-01,40.0667,"CUENCA, SP",0.8508,GHCND:SPE00120062,METERS,-2.1381
143.0,1973-01-01,2024-01-01,41.9117,"GIRONA COSTA BRAVA, SP",0.9224,GHCND:SPE00120080,METERS,2.7631
567.0,1973-01-01,2024-01-01,37.1894,"GRANADA AEROPUERTO, SP",0.9801,GHCND:SPE00120089,METERS,-3.7892
639.0,1986-01-01,2021-01-01,40.6608,"GUADALAJARA, SP",0.6107,GHCND:SPE00120107,METERS,-3.1742
685.0,1951-01-01,1985-01-01,40.6344,"GUADALAJARA INSTITUTO, SP",0.6281,GHCND:SPE00120116,METERS,-3.1642
1056.0,1951-01-01,2024-01-01,40.8442,"MOLINA DE ARAGON, SP",0.8643,GHCND:SPE00120125,METERS,-1.8853
4.0,2004-01-01,2022-01-01,43.3606,"SAN SEBASTIAN FUENTERRABIA, SP",0.9993,GHCND:SPE00120134,METERS,-1.7869
19.0,1985-01-01,2024-01-01,37.28,"HUELVA RONDA DEL ESTE, SP",0.9743,GHCND:SPE00120143,METERS,-6.9094
17.0,1920-01-01,2021-01-01,37.2594,"HUELVA, SP",0.5976,GHCND:SPE00120152,METERS,-6.9492
541.0,1945-01-01,2024-01-01,42.0831,"HUESCA, SP",0.9369,GHCND:SPE00120161,METERS,0.3264
582.0,1989-01-01,2024-01-01,37.7778,"JAEN, SP",0.9993,GHCND:SPE00120170,METERS,-3.8075
510.0,1921-01-01,2013-01-01,37.7778,"JAEN INSTITUTO, SP",0.4298,GHCND:SPE00120179,METERS,-3.7881
353.0,1949-01-01,2024-01-01,42.4519,"LOGRONO AGONCILLO, SP",0.9993,GHCND:SPE00120188,METERS,-2.3308
25.0,1967-01-01,2024-01-01,28.4444,"FUERTEVENTURA AEROPUERTO, SP",0.9476,GHCND:SPE00120197,METERS,-13.8631
24.0,1958-01-01,2024-01-01,27.9225,"LAS PALMAS DE GRAN CANARIA GAN, SP",0.3729,GHCND:SPE00120215,METERS,-15.3892
916.0,1938-01-01,2024-01-01,42.5889,"LEON VIRGEN DEL CAMINO, SP",0.9763,GHCND:SPE00120224,METERS,-5.6492
534.0,1951-01-01,2024-01-01,42.5639,"PONFERRADA, SP",0.9858,GHCND:SPE00120233,METERS,-6.6
192.0,1984-01-01,2024-01-01,41.6256,"LLEIDA, SP",0.9993,GHCND:SPE00120242,METERS,0.595
191.0,1960-01-01,1982-01-01,41.6183,"LLEIDA OBSERVATORIO, SP",0.9993,GHCND:SPE00120251,METERS,0.6217
445.0,1951-01-01,2024-01-01,43.1153,"LUGO ROZAS, SP",0.5266,GHCND:SPE00120260,METERS,-7.4558
1004.0,1978-01-01,2024-01-01,40.6983,"COLMENAR VIEJO FAMET, SP",0.8505,GHCND:SPE00120269,METERS,-3.7642
609.0,1945-01-01,2024-01-01,40.4667,"MADRID BARAJAS, SP",0.8119,GHCND:SPE00120278,METERS,-3.5556
